lab,A1C,glucose,site,c_name,c_totalnum,c_basecode
A1C,,,,,,
,,,gpc,,,
,A1C,,,Hgb A1c MFr Bld Calc (17855-8),\N,LOINC:17855-8
,A1C,,,Hgb A1c MFr Bld HPLC (17856-6),\N,LOINC:17856-6
,A1C,,,Hgb A1c Bld-mCnc (41995-2),\N,LOINC:41995-2
,A1C,,,Hgb A1c MFr Bld (4548-4),\N,LOINC:4548-4
,A1C,,,Hgb A1c MFr Bld Elph (4549-2),\N,LOINC:4549-2
,A1C,,,Hgb A1c SFr Bld IFCC (59261-8),\N,LOINC:59261-8
,A1C,,,Hgb A1c MFr Bld JDS/JSCC (62388-4),\N,LOINC:62388-4
,,,,Hgb A1c MFr.DF Bld (71875-9),\N,LOINC:71875-9
,,,,Hemoglobin A1c | Bld-Ser-Plas (LP100945-7),\N,LOINC:LP100945-7
,A1C,,,Hemoglobin A1c (LP16413-4),\N,LOINC:LP16413-4
,,,mcw,,,
,A1C,,,"HEMOGLOBIN A1C, WB (LOINC:17856-6) [ < 10 patients ]",0,LOINC:17856-6
,A1C,,,"GHBA1C (Group:GHBA1C) [ 373,315 facts / 95,421 patients ]",95421,LOINC:4548-4
,A1C,,,"HGB A1C (LOINC:4548-4) [ 373,315 facts / 95,424 patients ]",95424,LOINC:4548-4
,,,uiowa_terms,,,
,A1C,,,"Hgb A1c MFr Bld [ 106,626 patients]",106626,LOINC:4548-4
,,,unmc,,,
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by calculation,0,LOINC:17855-8
,A1C,,,"Hemoglobin A1c/Hemoglobin.total in Blood by HPLC [283,633 facts; 77,543 patients]",77543,LOINC:17856-6
,A1C,,,"Hemoglobin A1c/Hemoglobin.total in Blood by HPLC [283,633 facts; 77,543 patients]",77543,LOINC:17856-6
,A1C,,,"Hemoglobin A1c/Hemoglobin.total in Blood by HPLC [283,633 facts; 77,543 patients]",77543,LOINC:17856-6
,A1C,,,"Hemoglobin A1c/Hemoglobin.total in Blood by HPLC [283,633 facts; 77,543 patients]",77543,LOINC:17856-6
,A1C,,,"Hemoglobin A1c/Hemoglobin.total in Blood by HPLC [283,633 facts; 77,543 patients]",77543,LOINC:17856-6
,A1C,,,"Hemoglobin A1c/Hemoglobin.total in Blood by HPLC [283,633 facts; 77,543 patients]",77543,LOINC:17856-6
,A1C,,,"Hemoglobin A1c/Hemoglobin.total in Blood by HPLC [283,633 facts; 77,543 patients]",77543,LOINC:17856-6
,A1C,,,"Hemoglobin A1c/Hemoglobin.total in Blood by HPLC [283,633 facts; 77,543 patients]",77543,LOINC:17856-6
,A1C,,,"Hemoglobin A1c/Hemoglobin.total in Blood by HPLC [283,633 facts; 77,543 patients]",77543,LOINC:17856-6
,A1C,,,"Hemoglobin A1c/Hemoglobin.total in Blood by HPLC  [283,633 facts; 77,543 patients]",77543,LOINC:17856-6
,A1C,,,"Hemoglobin A1c/Hemoglobin.total in Blood by HPLC [283,633 facts; 77,543 patients]",77543,LOINC:17856-6
,A1C,,,"Hemoglobin A1c/Hemoglobin.total in Blood by HPLC [283,633 facts; 77,543 patients]",77543,LOINC:17856-6
,A1C,,,"Hemoglobin A1c/Hemoglobin.total in Blood by HPLC [283,633 facts; 77,543 patients]",77543,LOINC:17856-6
,A1C,,,"Hemoglobin A1c/Hemoglobin.total in Blood by HPLC [283,633 facts; 77,543 patients]",77543,LOINC:17856-6
,,,,Type of HbA1c measurement device,0,LOINC:41960-6
,,,,HbA1c measurement device Vendor name,0,LOINC:41961-4
,,,,HbA1c measurement device Vendor model code,0,LOINC:41962-2
,,,,HbA1c measurement device Vendor serial number,0,LOINC:41963-0
,,,,HbA1c measurement device Vendor software version,0,LOINC:41964-8
,A1C,,,Hemoglobin A1c ,0,LOINC:41995-2
,,,,Hemoglobin A1c measurement device panel,0,LOINC:43150-2
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood,0,LOINC:4548-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by Electrophoresis,0,LOINC:4549-2
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by Electrophoresis,0,LOINC:4549-2
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by Electrophoresis,0,LOINC:4549-2
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by Electrophoresis,0,LOINC:4549-2
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by Electrophoresis,0,LOINC:4549-2
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by Electrophoresis,0,LOINC:4549-2
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by Electrophoresis,0,LOINC:4549-2
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by Electrophoresis,0,LOINC:4549-2
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by Electrophoresis,0,LOINC:4549-2
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by Electrophoresis,0,LOINC:4549-2
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by Electrophoresis,0,LOINC:4549-2
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by Electrophoresis,0,LOINC:4549-2
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by Electrophoresis,0,LOINC:4549-2
,,,,"HEDIS 2009-2011 Codes to identify HbA1c tests (CDC-D) [283,633 facts; 77,543 patients]",77543,LOINC:54039-3
,,,,"HEDIS 2009-2011 Codes to identify HbA1c tests (CDC-D) [283,633 facts; 77,543 patients]",77543,LOINC:54039-3
,,,,"HEDIS 2009-2011 Codes to identify HbA1c tests (CDC-D) [283,633 facts; 77,543 patients]",77543,LOINC:54039-3
,,,,"HEDIS 2009-2011 Codes to identify HbA1c tests (CDC-D) [283,633 facts; 77,543 patients]",77543,LOINC:54039-3
,,,,Hemoglobin A1c in Blood,0,LOINC:55454-3
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by IFCC protocol,0,LOINC:59261-8
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by IFCC protocol,0,LOINC:59261-8
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by IFCC protocol,0,LOINC:59261-8
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by IFCC protocol,0,LOINC:59261-8
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by IFCC protocol,0,LOINC:59261-8
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by IFCC protocol,0,LOINC:59261-8
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by JDS/JSCC protocol,0,LOINC:62388-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by JDS/JSCC protocol,0,LOINC:62388-4
,A1C,,,Hemoglobin A1c/Hemoglobin.total in Blood by JDS/JSCC protocol,0,LOINC:62388-4
,,,,"HEDIS 2012, 2013 Codes to identify HbA1c tests (CDC-D) [283,633 facts; 77,543 patients]",77543,LOINC:67761-7
,,,,"HEDIS 2012, 2013 Codes to identify HbA1c tests (CDC-D) [283,633 facts; 77,543 patients]",77543,LOINC:67761-7
,,,,"HEDIS 2012, 2013 Codes to identify HbA1c tests (CDC-D) [283,633 facts; 77,543 patients]",77543,LOINC:67761-7
,,,,Hemoglobin A1c/Hemoglobin.total ,0,LOINC:71875-9
,,,,Hemoglobin A1c/Hemoglobin.total ,0,LOINC:71875-9
,,,,Hemoglobin A1c/Hemoglobin.total ,0,LOINC:71875-9
,,,,"HEDIS 2014 Value Set - HbA1c Tests [283,633 facts; 77,543 patients]",77543,LOINC:74246-0
,,,,"HEDIS 2014 Value Set - HbA1c Tests [283,633 facts; 77,543 patients]",77543,LOINC:74246-0
,,,,"HEDIS 2015, 2016 Value Set - HbA1C Tests [283,633 facts; 77,543 patients]",77543,LOINC:75862-3
,,,,"HEDIS 2015, 2016 Value Set - HbA1C Tests [283,633 facts; 77,543 patients]",77543,LOINC:75862-3
,,,,"HEDIS 2015, 2016 Value Set - HbA1C Tests [283,633 facts; 77,543 patients]",77543,LOINC:75862-3
