dm_drug,drug,by,code,pattern,but_not,note
1,Sulfonylurea,Names,,Acetohexamide,,
1,Sulfonylurea,Names,,D[i|y]melor,,
1,Sulfonylurea,Names,,"glimep[e,i]ride",,
1,Sulfonylurea,Names,,Avandaryl,,This is combination of glimeperide-rosiglitazone
1,Sulfonylurea,Names,,Amaryl,,
1,Sulfonylurea,Names,,Duetact,,this is combination of glimepiride-pioglitazone
1,Sulfonylurea,Names,,gliclazide,,
1,Sulfonylurea,Names,,Uni Diamicron,,
1,Sulfonylurea,Names,,glipizide,,
1,Sulfonylurea,Names,,Metaglip,,this is combination of metformin-glipizide
1,Sulfonylurea,Names,,Glucotrol,,
1,Sulfonylurea,Names,,Min[i|o]diab,,
1,Sulfonylurea,Names,,Glibenese,,
1,Sulfonylurea,Names,,Glucotrol XL,,
1,Sulfonylurea,Names,,Glipizide XL,,
1,Sulfonylurea,Names,,glyburide,,
1,Sulfonylurea,Names,,Glucovance,,
1,Sulfonylurea,Names,,glibenclamide,,
1,Sulfonylurea,Names,,DiaBeta,,
1,Sulfonylurea,Names,,Glynase,,
1,Sulfonylurea,Names,,Micronase,,
1,Sulfonylurea,Names,,chlorpropamide,,
1,Sulfonylurea,Names,,Diabinese,,
1,Sulfonylurea,Names,,Apo-Chlorpropamide,,
1,Sulfonylurea,Names,,Glucamide,,
1,Sulfonylurea,Names,,Novo-Propamide,,
1,Sulfonylurea,Names,,Insulase,,
1,Sulfonylurea,Names,,tolazamide,,
1,Sulfonylurea,Names,,Tolinase,,
1,Sulfonylurea,Names,,Glynase PresTab,,
1,Sulfonylurea,Names,,Tolamide,,
1,Sulfonylurea,Names,,tolbutamide,,
1,Sulfonylurea,Names,,Orinase,,
1,Sulfonylurea,Names,,Tol-Tab,,
1,Sulfonylurea,Names,,Apo-Tolbutamide,,
1,Sulfonylurea,Names,,Novo-Butamide,,
1,Sulfonylurea,Names,,Glyclopyramide,,
1,Sulfonylurea,Names,,Deamelin[-]S,,
1,Sulfonylurea,Names,,Gliquidone,,
1,Sulfonylurea,Names,,Glurenorm,,
1,Sulfonylurea,RXNORM,3842,,,
1,Sulfonylurea,RXNORM,153843,,,
1,Sulfonylurea,RXNORM,153844,,,
1,Sulfonylurea,RXNORM,153845,,,
1,Sulfonylurea,RXNORM,197306,,,
1,Sulfonylurea,RXNORM,197307,,,
1,Sulfonylurea,RXNORM,197495,,,
1,Sulfonylurea,RXNORM,197496,,,
1,Sulfonylurea,RXNORM,197737,,,
1,Sulfonylurea,RXNORM,198291,,,
1,Sulfonylurea,RXNORM,198292,,,
